# DSC deconvolution: T (C), smoothed signal, baseline, components (mW/mg).
T_C_1K,DSC_smoothed_1K,baseline_1K,FS_sum_1K,central_1K,shoulder_1K,T_C_3K,DSC_smoothed_3K,baseline_3K,FS_sum_3K,central_3K,shoulder_3K,T_C_5K,DSC_smoothed_5K,baseline_5K,FS_sum_5K,central_5K,shoulder_5K
332.974,-0.707945,-0.717193,-0.698115,-0.69813,-0.717178,345.851,-0.336072,-0.367337,-0.307176,-0.307179,-0.367334,351.961,0.0465746,-0.00513237,0.0959041,0.0959013,-0.00512955
332.999,-0.707919,-0.717254,-0.698095,-0.69811,-0.717239,345.877,-0.335892,-0.367529,-0.307093,-0.307095,-0.367527,351.988,0.0470846,-0.00547956,0.0960607,0.0960578,-0.0054767
333.024,-0.707929,-0.717315,-0.698074,-0.69809,-0.7173,345.902,-0.335671,-0.367722,-0.307008,-0.307011,-0.367719,352.016,0.0475997,-0.00582662,0.0962197,0.0962168,-0.00582373
333.049,-0.707888,-0.717376,-0.698054,-0.698069,-0.71736,345.928,-0.335439,-0.367915,-0.306922,-0.306925,-0.367912,352.043,0.0480987,-0.00617369,0.0963812,0.0963783,-0.00617076
333.074,-0.70779,-0.717437,-0.698033,-0.698049,-0.717421,345.953,-0.335194,-0.368107,-0.306835,-0.306838,-0.368105,352.071,0.0486011,-0.00652063,0.0965453,0.0965423,-0.00651766
333.099,-0.707667,-0.717498,-0.698012,-0.698027,-0.717482,345.979,-0.334961,-0.3683,-0.306747,-0.30675,-0.368297,352.098,0.0490925,-0.00686756,0.0967118,0.0967088,-0.00686457
333.124,-0.707483,-0.717559,-0.69799,-0.698006,-0.717543,346.004,-0.334711,-0.368493,-0.306657,-0.30666,-0.36849,352.126,0.0495784,-0.00721476,0.0968811,0.0968781,-0.00721172
333.149,-0.70722,-0.71762,-0.697968,-0.697984,-0.717604,346.03,-0.334471,-0.368685,-0.306566,-0.306569,-0.368683,352.153,0.0500869,-0.00756169,0.0970528,0.0970497,-0.00755862
333.174,-0.706927,-0.717681,-0.697945,-0.697962,-0.717665,346.055,-0.334243,-0.368878,-0.306474,-0.306477,-0.368875,352.181,0.0505923,-0.00790863,0.0972271,0.097224,-0.00790552
333.199,-0.706668,-0.717742,-0.697923,-0.697939,-0.717726,346.081,-0.333984,-0.36907,-0.306381,-0.306383,-0.369068,352.208,0.0510885,-0.0082557,0.097404,0.0974009,-0.00825255
333.224,-0.706364,-0.717804,-0.6979,-0.697916,-0.717787,346.106,-0.333743,-0.369263,-0.306286,-0.306288,-0.36926,352.236,0.0515785,-0.00860276,0.0975836,0.0975804,-0.00859957
333.249,-0.706108,-0.717865,-0.697876,-0.697893,-0.717848,346.132,-0.333499,-0.369455,-0.30619,-0.306192,-0.369453,352.263,0.0520685,-0.00894958,0.0977657,0.0977624,-0.00894635
333.274,-0.705905,-0.717926,-0.697852,-0.697869,-0.717909,346.157,-0.333236,-0.369648,-0.306092,-0.306095,-0.369645,352.291,0.0525431,-0.00929639,0.0979504,0.0979471,-0.00929312
333.299,-0.705741,-0.717987,-0.697828,-0.697845,-0.71797,346.183,-0.332943,-0.369841,-0.305993,-0.305996,-0.369838,352.318,0.0530126,-0.00964333,0.0981378,0.0981345,-0.00964002
333.324,-0.705601,-0.718048,-0.697804,-0.697821,-0.718031,346.208,-0.332655,-0.370034,-0.305893,-0.305896,-0.370031,352.346,0.0534896,-0.00999027,0.0983278,0.0983245,-0.00998691
333.349,-0.705436,-0.718109,-0.697779,-0.697796,-0.718092,346.234,-0.332382,-0.370226,-0.305791,-0.305794,-0.370223,352.373,0.0539861,-0.0103375,0.0985207,0.0985173,-0.0103341
333.374,-0.705274,-0.71817,-0.697753,-0.697771,-0.718153,346.259,-0.332143,-0.370419,-0.305688,-0.305691,-0.370416,352.401,0.0544549,-0.0106844,0.0987162,0.0987127,-0.010681
333.399,-0.705175,-0.718231,-0.697728,-0.697745,-0.718213,346.285,-0.331884,-0.370611,-0.305584,-0.305587,-0.370608,352.428,0.0549159,-0.0110317,0.0989145,0.098911,-0.0110282
333.424,-0.705089,-0.718292,-0.697702,-0.697719,-0.718274,346.31,-0.331642,-0.370804,-0.305479,-0.305482,-0.370801,352.456,0.0553873,-0.0113789,0.0991155,0.099112,-0.0113754
333.449,-0.704991,-0.718353,-0.697675,-0.697693,-0.718335,346.336,-0.331405,-0.370996,-0.305372,-0.305375,-0.370993,352.483,0.0558901,-0.011726,0.0993191,0.0993156,-0.0117224
333.474,-0.704918,-0.718414,-0.697649,-0.697666,-0.718396,346.361,-0.331173,-0.371189,-0.305264,-0.305267,-0.371186,352.511,0.0564481,-0.012073,0.0995255,0.0995219,-0.0120694
333.499,-0.704914,-0.718475,-0.697621,-0.697639,-0.718457,346.387,-0.3309,-0.371382,-0.305154,-0.305157,-0.371378,352.538,0.0570479,-0.0124201,0.0997346,0.099731,-0.0124164
333.524,-0.704965,-0.718536,-0.697594,-0.697612,-0.718518,346.412,-0.330618,-0.371574,-0.305043,-0.305046,-0.371571,352.566,0.0576411,-0.012767,0.0999465,0.0999428,-0.0127633
333.549,-0.70498,-0.718597,-0.697566,-0.697584,-0.718579,346.438,-0.330367,-0.371767,-0.30493,-0.304934,-0.371763,352.593,0.0582484,-0.013114,0.100161,0.100157,-0.0131102
333.574,-0.705005,-0.718658,-0.697538,-0.697556,-0.71864,346.463,-0.330112,-0.371959,-0.304817,-0.30482,-0.371956,352.621,0.0588679,-0.0134609,0.100378,0.100375,-0.0134571
333.599,-0.70502,-0.718719,-0.697509,-0.697527,-0.718701,346.489,-0.329848,-0.372152,-0.304702,-0.304705,-0.372148,352.648,0.0595121,-0.0138081,0.100599,0.100595,-0.0138043
333.624,-0.705039,-0.71878,-0.69748,-0.697498,-0.718762,346.514,-0.329598,-0.372344,-0.304585,-0.304588,-0.372341,352.676,0.0601717,-0.014155,0.100822,0.100818,-0.0141511
333.649,-0.705029,-0.718842,-0.69745,-0.697469,-0.718823,346.54,-0.329373,-0.372537,-0.304467,-0.30447,-0.372533,352.703,0.0608162,-0.014502,0.101048,0.101044,-0.014498
333.674,-0.705024,-0.718903,-0.697421,-0.697439,-0.718884,346.565,-0.329163,-0.372729,-0.304348,-0.304351,-0.372726,352.731,0.0614757,-0.0148489,0.101276,0.101272,-0.0148449
333.699,-0.705035,-0.718964,-0.69739,-0.697409,-0.718945,346.591,-0.328954,-0.372922,-0.304227,-0.30423,-0.372918,352.758,0.0620992,-0.0151957,0.101508,0.101504,-0.0151917
333.724,-0.704993,-0.719025,-0.69736,-0.697379,-0.719006,346.616,-0.328749,-0.373114,-0.304104,-0.304108,-0.373111,352.786,0.0627384,-0.0155425,0.101742,0.101738,-0.0155385
333.749,-0.704938,-0.719086,-0.697329,-0.697348,-0.719066,346.642,-0.328515,-0.373307,-0.303981,-0.303984,-0.373303,352.813,0.0634024,-0.0158894,0.101979,0.101975,-0.0158852
333.774,-0.704848,-0.719147,-0.697297,-0.697317,-0.719127,346.667,-0.328247,-0.373499,-0.303856,-0.303859,-0.373496,352.841,0.0640841,-0.0162362,0.102219,0.102215,-0.016232
333.799,-0.704691,-0.719208,-0.697265,-0.697285,-0.719188,346.693,-0.327969,-0.373692,-0.303729,-0.303733,-0.373688,352.868,0.0647414,-0.016583,0.102462,0.102458,-0.0165787
333.824,-0.704522,-0.719269,-0.697233,-0.697253,-0.719249,346.718,-0.327659,-0.373884,-0.303601,-0.303605,-0.37388,352.896,0.0654134,-0.0169298,0.102708,0.102704,-0.0169255
333.849,-0.704295,-0.71933,-0.697201,-0.69722,-0.71931,346.744,-0.327345,-0.374076,-0.303472,-0.303475,-0.374073,352.923,0.0660805,-0.0172766,0.102957,0.102953,-0.0172722
