# Forward reconstruction (consistency check), model F1: E=337 kJ/mol, lnA=43.7. T (C), alpha experimental and modelled for each beta.
T_C_1K,alpha_exp_1K,alpha_model_1K,T_C_3K,alpha_exp_3K,alpha_model_3K,T_C_5K,alpha_exp_5K,alpha_model_5K
515.491,0.102263,0.154003,529.432,0.0795326,0.141738,533.14,0.0791489,0.105151
515.53,0.102898,0.1549,529.477,0.0799685,0.142593,533.183,0.0796035,0.105788
515.568,0.103537,0.155797,529.522,0.0804058,0.143449,533.225,0.0800598,0.106427
515.607,0.10418,0.156696,529.567,0.0808449,0.144306,533.268,0.0805181,0.107066
515.646,0.104826,0.157596,529.612,0.0812861,0.145165,533.31,0.0809787,0.107707
515.685,0.105474,0.158497,529.657,0.0817291,0.146025,533.353,0.0814411,0.108349
515.724,0.106127,0.159399,529.702,0.0821735,0.146886,533.395,0.0819056,0.108992
515.763,0.106783,0.160303,529.747,0.0826199,0.147749,533.438,0.0823722,0.109637
515.802,0.107442,0.161208,529.791,0.0830687,0.148614,533.48,0.0828409,0.110282
515.841,0.108105,0.162115,529.836,0.0835197,0.14948,533.523,0.0833114,0.110929
515.88,0.108771,0.163024,529.881,0.0839731,0.150349,533.565,0.0837843,0.111577
515.919,0.109442,0.163933,529.926,0.0844287,0.151219,533.608,0.0842597,0.112227
515.958,0.110115,0.164844,529.971,0.0848868,0.15209,533.65,0.0847372,0.112878
515.997,0.110792,0.165756,530.016,0.0853474,0.152963,533.693,0.0852173,0.11353
516.036,0.111472,0.16667,530.061,0.0858104,0.153837,533.735,0.0856995,0.114184
516.075,0.112156,0.167584,530.106,0.086276,0.154714,533.778,0.0861839,0.114839
516.114,0.112843,0.1685,530.151,0.0867444,0.155592,533.82,0.0866703,0.115495
516.153,0.113534,0.169417,530.196,0.0872152,0.156472,533.863,0.0871586,0.116152
516.192,0.114228,0.170336,530.241,0.087688,0.157353,533.905,0.0876494,0.116811
516.23,0.114925,0.171256,530.286,0.0881631,0.158237,533.948,0.0881421,0.117471
516.269,0.115626,0.172177,530.331,0.0886405,0.159121,533.99,0.0886373,0.118132
516.308,0.116331,0.1731,530.376,0.0891196,0.160007,534.033,0.0891343,0.118794
516.347,0.117038,0.174025,530.421,0.0896004,0.160894,534.075,0.0896337,0.119458
516.386,0.117749,0.174951,530.466,0.090083,0.161783,534.118,0.0901352,0.120123
516.425,0.118464,0.175878,530.511,0.0905675,0.162673,534.16,0.0906391,0.12079
516.464,0.119181,0.176807,530.556,0.091054,0.163564,534.203,0.0911448,0.121457
516.503,0.119902,0.177738,530.601,0.091543,0.164457,534.245,0.0916528,0.122126
516.542,0.120626,0.17867,530.646,0.0920344,0.165352,534.288,0.0921628,0.122796
516.581,0.121352,0.179603,530.691,0.0925286,0.166249,534.33,0.0926747,0.123467
516.62,0.122081,0.180537,530.736,0.0930257,0.167147,534.373,0.0931882,0.124139
516.659,0.122813,0.181472,530.781,0.0935258,0.168047,534.415,0.0937033,0.124812
516.698,0.123548,0.182408,530.826,0.0940288,0.168949,534.458,0.0942203,0.125486
516.737,0.124286,0.183346,530.871,0.0945347,0.169853,534.5,0.094739,0.126162
516.776,0.125028,0.184286,530.916,0.0950431,0.170758,534.543,0.0952597,0.126839
516.815,0.125773,0.185226,530.961,0.0955542,0.171664,534.585,0.0957821,0.127517
516.854,0.126521,0.186166,531.006,0.0960677,0.172573,534.628,0.096306,0.128196
516.893,0.127271,0.187109,531.051,0.0965834,0.173482,534.67,0.0968318,0.128876
516.932,0.128024,0.188052,531.096,0.0971016,0.174394,534.713,0.09736,0.129558
516.971,0.12878,0.188998,531.141,0.0976219,0.175307,534.755,0.09789,0.130241
517.01,0.129539,0.189945,531.186,0.0981442,0.176222,534.798,0.098422,0.130925
517.049,0.130301,0.190893,531.231,0.0986686,0.177137,534.84,0.0989563,0.131611
517.088,0.131067,0.191844,531.276,0.0991953,0.178055,534.882,0.0994923,0.132298
517.127,0.131836,0.192795,531.321,0.0997237,0.178974,534.925,0.10003,0.132985
517.166,0.132609,0.193749,531.366,0.100255,0.179895,534.967,0.10057,0.133674
517.205,0.133385,0.194703,531.411,0.100788,0.180818,535.01,0.101112,0.134365
517.244,0.134164,0.195659,531.456,0.101322,0.181742,535.052,0.101657,0.135057
517.283,0.134946,0.196615,531.501,0.101859,0.182668,535.095,0.102204,0.135751
517.322,0.135731,0.197573,531.546,0.102398,0.183595,535.137,0.102753,0.136445
517.361,0.13652,0.198532,531.591,0.102939,0.184524,535.18,0.103303,0.137141
517.4,0.137312,0.199494,531.636,0.103482,0.185455,535.222,0.103856,0.137838
517.439,0.138109,0.200456,531.681,0.104027,0.186387,535.265,0.104412,0.138536
517.478,0.138909,0.201419,531.726,0.104574,0.187321,535.307,0.104969,0.139236
517.517,0.139714,0.202383,531.771,0.105123,0.188257,535.35,0.105529,0.139937
517.556,0.140523,0.203349,531.816,0.105674,0.189194,535.392,0.106091,0.140639
517.595,0.141337,0.204316,531.861,0.106227,0.190132,535.434,0.106655,0.141342
517.634,0.142155,0.205285,531.906,0.106781,0.191073,535.477,0.107222,0.142047
517.673,0.142977,0.206255,531.951,0.107338,0.192014,535.519,0.10779,0.142752
517.713,0.143804,0.207227,531.996,0.107896,0.192957,535.562,0.108362,0.14346
517.752,0.144635,0.2082,532.041,0.108457,0.193902,535.604,0.108936,0.144169
517.791,0.14547,0.209174,532.086,0.10902,0.194849,535.647,0.109512,0.144879
517.83,0.146309,0.210149,532.131,0.109584,0.195797,535.689,0.11009,0.14559
517.869,0.147152,0.211126,532.176,0.110151,0.196746,535.732,0.110671,0.146303
517.908,0.147998,0.212104,532.221,0.11072,0.197698,535.774,0.111254,0.147017
517.947,0.148848,0.213084,532.266,0.111292,0.198651,535.817,0.111839,0.147732
517.986,0.149702,0.214064,532.311,0.111867,0.199605,535.859,0.112427,0.148449
518.025,0.150559,0.215046,532.356,0.112444,0.200561,535.902,0.113018,0.149168
518.064,0.151421,0.216029,532.401,0.113024,0.201519,535.944,0.11361,0.149887
518.103,0.152285,0.217013,532.446,0.113608,0.202478,535.987,0.114204,0.150608
518.142,0.153153,0.217998,532.491,0.114194,0.203439,536.029,0.114801,0.15133
518.181,0.154025,0.218984,532.536,0.114783,0.204402,536.072,0.1154,0.152054
518.22,0.1549,0.219971,532.581,0.115375,0.205366,536.114,0.116,0.152778
518.259,0.155779,0.22096,532.627,0.11597,0.206332,536.157,0.116603,0.153504
518.298,0.156662,0.221949,532.672,0.116567,0.207299,536.199,0.117208,0.154232
518.337,0.157548,0.22294,532.717,0.117167,0.208267,536.242,0.117815,0.15496
518.376,0.158436,0.223932,532.762,0.11777,0.209238,536.285,0.118424,0.155691
518.415,0.159327,0.224925,532.807,0.118375,0.210209,536.327,0.119036,0.156422
518.454,0.160221,0.225918,532.852,0.118983,0.211181,536.37,0.11965,0.157155
