# Conversion and rate: T (C), alpha (-), dalpha/dt (1/s) for each beta.
T_C_1K,alpha_1K,rate_dadt_1/s_1K,T_C_3K,alpha_3K,rate_dadt_1/s_3K,T_C_5K,alpha_5K,rate_dadt_1/s_5K
311.795,0.000615991,2.55083e-06,324.291,0.000641079,8.42657e-06,330.18,0.000591931,1.30495e-05
311.828,0.000621198,2.56381e-06,324.323,0.000646502,8.46954e-06,330.212,0.000596931,1.31158e-05
311.862,0.000626431,2.57686e-06,324.355,0.000651953,8.51274e-06,330.243,0.000601956,1.31824e-05
311.896,0.000631691,2.58998e-06,324.387,0.000657431,8.55617e-06,330.275,0.000607006,1.32494e-05
311.93,0.000636978,2.60317e-06,324.419,0.000662937,8.59983e-06,330.307,0.000612083,1.33167e-05
311.964,0.000642292,2.61643e-06,324.451,0.000668472,8.64373e-06,330.339,0.000617185,1.33844e-05
311.998,0.000647632,2.62976e-06,324.484,0.000674035,8.68786e-06,330.371,0.000622313,1.34525e-05
312.032,0.000653,2.64317e-06,324.516,0.000679626,8.73222e-06,330.403,0.000627467,1.35209e-05
312.066,0.000658396,2.65664e-06,324.548,0.000685245,8.77683e-06,330.434,0.000632647,1.35897e-05
312.1,0.000663819,2.67019e-06,324.58,0.000690894,8.82167e-06,330.466,0.000637854,1.36589e-05
312.134,0.000669269,2.68381e-06,324.612,0.000696571,8.86675e-06,330.498,0.000643087,1.37284e-05
312.168,0.000674747,2.6975e-06,324.644,0.000702277,8.91207e-06,330.53,0.000648347,1.37983e-05
312.202,0.000680254,2.71127e-06,324.676,0.000708013,8.95764e-06,330.562,0.000653634,1.38686e-05
312.236,0.000685788,2.72511e-06,324.708,0.000713777,9.00345e-06,330.594,0.000658947,1.39393e-05
312.27,0.00069135,2.73902e-06,324.74,0.000719571,9.04951e-06,330.626,0.000664288,1.40103e-05
312.304,0.000696941,2.75301e-06,324.772,0.000725395,9.09581e-06,330.657,0.000669656,1.40817e-05
312.338,0.000702561,2.76707e-06,324.805,0.000731249,9.14236e-06,330.689,0.000675051,1.41535e-05
312.371,0.000708209,2.7812e-06,324.837,0.000737133,9.18916e-06,330.721,0.000680474,1.42257e-05
312.405,0.000713886,2.79542e-06,324.869,0.000743046,9.23621e-06,330.753,0.000685924,1.42982e-05
312.439,0.000719592,2.80971e-06,324.901,0.00074899,9.28351e-06,330.785,0.000691402,1.43712e-05
312.473,0.000725328,2.82407e-06,324.933,0.000754965,9.33107e-06,330.817,0.000696909,1.44445e-05
312.507,0.000731092,2.83851e-06,324.965,0.00076097,9.37888e-06,330.848,0.000702443,1.45182e-05
312.541,0.000736887,2.85303e-06,324.997,0.000767006,9.42695e-06,330.88,0.000708005,1.45924e-05
312.575,0.00074271,2.86763e-06,325.029,0.000773073,9.47528e-06,330.912,0.000713596,1.46669e-05
312.609,0.000748564,2.88231e-06,325.061,0.00077917,9.52386e-06,330.944,0.000719216,1.47418e-05
312.643,0.000754447,2.89706e-06,325.093,0.0007853,9.57271e-06,330.976,0.000724864,1.48171e-05
312.677,0.000760361,2.9119e-06,325.125,0.00079146,9.62182e-06,331.008,0.000730541,1.48928e-05
312.711,0.000766305,2.92681e-06,325.158,0.000797653,9.67119e-06,331.04,0.000736247,1.4969e-05
312.745,0.000772279,2.9418e-06,325.19,0.000803877,9.72083e-06,331.071,0.000741982,1.50455e-05
312.779,0.000778284,2.95688e-06,325.222,0.000810132,9.77074e-06,331.103,0.000747747,1.51224e-05
312.813,0.00078432,2.97203e-06,325.254,0.000816421,9.82091e-06,331.135,0.000753541,1.51998e-05
312.847,0.000790387,2.98727e-06,325.286,0.000822741,9.87136e-06,331.167,0.000759364,1.52776e-05
312.88,0.000796484,3.00259e-06,325.318,0.000829094,9.92207e-06,331.199,0.000765218,1.53557e-05
312.914,0.000802614,3.01799e-06,325.35,0.000835479,9.97306e-06,331.231,0.000771101,1.54344e-05
312.948,0.000808774,3.03347e-06,325.382,0.000841897,1.00243e-05,331.262,0.000777015,1.55134e-05
312.982,0.000814966,3.04903e-06,325.414,0.000848349,1.00759e-05,331.294,0.000782959,1.55928e-05
313.016,0.00082119,3.06468e-06,325.446,0.000854833,1.01277e-05,331.326,0.000788933,1.56727e-05
313.05,0.000827446,3.08042e-06,325.479,0.000861351,1.01798e-05,331.358,0.000794938,1.5753e-05
313.084,0.000833734,3.09624e-06,325.511,0.000867902,1.02321e-05,331.39,0.000800973,1.58338e-05
313.118,0.000840054,3.11214e-06,325.543,0.000874487,1.02848e-05,331.422,0.00080704,1.59149e-05
313.152,0.000846407,3.12813e-06,325.575,0.000881106,1.03377e-05,331.454,0.000813138,1.59965e-05
313.186,0.000852792,3.1442e-06,325.607,0.000887759,1.0391e-05,331.485,0.000819267,1.60786e-05
313.22,0.00085921,3.16036e-06,325.639,0.000894447,1.04445e-05,331.517,0.000825427,1.61611e-05
313.254,0.000865662,3.17661e-06,325.671,0.000901168,1.04983e-05,331.549,0.000831619,1.6244e-05
313.288,0.000872146,3.19295e-06,325.703,0.000907925,1.05524e-05,331.581,0.000837843,1.63274e-05
313.322,0.000878664,3.20937e-06,325.735,0.000914716,1.06068e-05,331.613,0.000844099,1.64112e-05
313.356,0.000885215,3.22589e-06,325.767,0.000921542,1.06614e-05,331.645,0.000850386,1.64955e-05
313.389,0.0008918,3.24249e-06,325.799,0.000928403,1.07164e-05,331.676,0.000856707,1.65802e-05
313.423,0.000898419,3.25918e-06,325.832,0.0009353,1.07717e-05,331.708,0.000863059,1.66654e-05
313.457,0.000905071,3.27596e-06,325.864,0.000942232,1.08273e-05,331.74,0.000869444,1.6751e-05
313.491,0.000911759,3.29283e-06,325.896,0.000949201,1.08831e-05,331.772,0.000875862,1.68371e-05
313.525,0.00091848,3.30979e-06,325.928,0.000956205,1.09393e-05,331.804,0.000882314,1.69237e-05
313.559,0.000925236,3.32685e-06,325.96,0.000963245,1.09958e-05,331.836,0.000888798,1.70107e-05
313.593,0.000932028,3.34399e-06,325.992,0.000970321,1.10525e-05,331.868,0.000895315,1.70982e-05
313.627,0.000938854,3.36123e-06,326.024,0.000977434,1.11096e-05,331.899,0.000901866,1.71862e-05
313.661,0.000945715,3.37856e-06,326.056,0.000984584,1.1167e-05,331.931,0.000908451,1.72746e-05
313.695,0.000952611,3.39599e-06,326.088,0.000991771,1.12247e-05,331.963,0.00091507,1.73636e-05
313.729,0.000959544,3.4135e-06,326.12,0.000998995,1.12827e-05,331.995,0.000921723,1.7453e-05
313.763,0.000966512,3.43112e-06,326.153,0.00100626,1.13411e-05,332.027,0.00092841,1.75428e-05
313.797,0.000973516,3.44883e-06,326.185,0.00101356,1.13997e-05,332.059,0.000935131,1.76332e-05
313.831,0.000980556,3.46663e-06,326.217,0.00102089,1.14587e-05,332.09,0.000941887,1.77241e-05
313.865,0.000987632,3.48453e-06,326.249,0.00102827,1.1518e-05,332.122,0.000948678,1.78154e-05
313.898,0.000994745,3.50253e-06,326.281,0.00103568,1.15776e-05,332.154,0.000955504,1.79072e-05
