# Criado master-plot: y(alpha) of 15 theoretical models (common grid) and experiment by beta. Selected model: R3.
alpha_theory,y_F1,y_F2,y_F3,y_D1,y_D2,y_D3,y_D4,y_R2,y_R3,y_P2,y_P3,y_P4,y_A2,y_A3,y_A4,alpha_exp_1K,y_exp_1K,alpha_exp_3K,y_exp_3K,alpha_exp_5K,y_exp_5K
0.765,0.981956,0.7191,0.592059,1.53,1.32485,1.12198,1.24608,1.20599,1.12198,1.53,1.53,1.53,0.981956,0.981956,0.981956,,,,,,
0.77,0.975335,0.7084,0.580888,1.54,1.32789,1.11874,1.24648,1.20509,1.11874,1.54,1.54,1.54,0.975335,0.975335,0.975335,,,,,,
0.775,0.968401,0.6975,0.569625,1.55,1.33075,1.1152,1.24664,1.20393,1.1152,1.55,1.55,1.55,0.968401,0.968401,0.968401,,,,,,
0.78,0.961147,0.6864,0.558272,1.56,1.33341,1.11134,1.24654,1.20248,1.11134,1.56,1.56,1.56,0.961147,0.961147,0.961147,,,,,,
0.785,0.953564,0.6751,0.546831,1.57,1.33589,1.10717,1.24619,1.20074,1.10717,1.57,1.57,1.57,0.953564,0.953564,0.953564,,,,,,
0.79,0.945646,0.6636,0.535304,1.58,1.33817,1.10266,1.24556,1.19869,1.10266,1.58,1.58,1.58,0.945646,0.945646,0.945646,,,,,,
0.795,0.937385,0.6519,0.523693,1.59,1.34024,1.09781,1.24465,1.19634,1.09781,1.59,1.59,1.59,0.937385,0.937385,0.937385,,,,,,
0.8,0.928771,0.64,0.512,1.6,1.34209,1.0926,1.24344,1.19365,1.0926,1.6,1.6,1.6,0.928771,0.928771,0.928771,,,,,,
0.805,0.919797,0.6279,0.500227,1.61,1.34372,1.08703,1.24194,1.19063,1.08703,1.61,1.61,1.61,0.919797,0.919797,0.919797,,,,,,
0.81,0.910453,0.6156,0.488376,1.62,1.34511,1.08108,1.24011,1.18726,1.08108,1.62,1.62,1.62,0.910453,0.910453,0.910453,,,,,,
0.815,0.900729,0.6031,0.476449,1.63,1.34626,1.07474,1.23796,1.18353,1.07474,1.63,1.63,1.63,0.900729,0.900729,0.900729,,,,,,
0.82,0.890615,0.5904,0.464448,1.64,1.34716,1.068,1.23547,1.17941,1.068,1.64,1.64,1.64,0.890615,0.890615,0.890615,,,,,,
0.825,0.880101,0.5775,0.452375,1.65,1.34779,1.06083,1.23261,1.1749,1.06083,1.65,1.65,1.65,0.880101,0.880101,0.880101,,,,,,
0.83,0.869174,0.5644,0.440232,1.66,1.34815,1.05323,1.22939,1.16998,1.05323,1.66,1.66,1.66,0.869174,0.869174,0.869174,,,,,,
0.835,0.857822,0.5511,0.428021,1.67,1.34821,1.04517,1.22577,1.16463,1.04517,1.67,1.67,1.67,0.857822,0.857822,0.857822,,,,,,
0.84,0.846034,0.5376,0.415744,1.68,1.34797,1.03664,1.22175,1.15882,1.03664,1.68,1.68,1.68,0.846034,0.846034,0.846034,,,,,,
0.845,0.833795,0.5239,0.403403,1.69,1.34741,1.02762,1.21729,1.15255,1.02762,1.69,1.69,1.69,0.833795,0.833795,0.833795,,,,,,
0.85,0.82109,0.51,0.391,1.7,1.34651,1.01808,1.21238,1.14578,1.01808,1.7,1.7,1.7,0.82109,0.82109,0.82109,,,,,,
0.855,0.807904,0.4959,0.378537,1.71,1.34526,1.00801,1.207,1.13849,1.00801,1.71,1.71,1.71,0.807904,0.807904,0.807904,,,,,,
0.86,0.79422,0.4816,0.366016,1.72,1.34364,0.997379,1.20112,1.13065,0.997379,1.72,1.72,1.72,0.79422,0.79422,0.79422,,,,,,
0.865,0.780022,0.4671,0.353439,1.73,1.34162,0.986158,1.19472,1.12224,0.986158,1.73,1.73,1.73,0.780022,0.780022,0.780022,,,,,,
