# Forward reconstruction (consistency check), model R3: E=344 kJ/mol, lnA=58.6. T (C), alpha experimental and modelled for each beta.
T_C_1K,alpha_exp_1K,alpha_model_1K,T_C_3K,alpha_exp_3K,alpha_model_3K,T_C_5K,alpha_exp_5K,alpha_model_5K
338.127,0.0650884,0.0932436,348.94,0.0650722,0.0981594,355.148,0.065104,0.113161
338.161,0.0654615,0.0938734,348.973,0.0654453,0.0988016,355.179,0.0654771,0.113891
338.195,0.0658367,0.0945053,349.005,0.0658205,0.0994457,355.211,0.0658523,0.114623
338.229,0.0662141,0.0951393,349.037,0.0661979,0.100092,355.243,0.0662296,0.115357
338.263,0.0665936,0.0957754,349.069,0.0665774,0.10074,355.275,0.0666091,0.116093
338.297,0.0669753,0.0964136,349.101,0.0669591,0.101389,355.307,0.0669908,0.11683
338.331,0.0673591,0.0970539,349.133,0.067343,0.102041,355.339,0.0673747,0.11757
338.365,0.0677452,0.0976963,349.165,0.067729,0.102695,355.371,0.0677607,0.118312
338.399,0.0681335,0.0983408,349.197,0.0681173,0.10335,355.402,0.068149,0.119056
338.433,0.068524,0.0989875,349.229,0.0685078,0.104008,355.434,0.0685395,0.119803
338.467,0.0689167,0.0996362,349.261,0.0689006,0.104667,355.466,0.0689322,0.120551
338.501,0.0693117,0.100287,349.293,0.0692956,0.105329,355.498,0.0693272,0.121301
338.535,0.069709,0.10094,349.326,0.0696928,0.105992,355.53,0.0697245,0.122053
338.569,0.0701085,0.101595,349.358,0.0700924,0.106657,355.562,0.070124,0.122808
338.602,0.0705103,0.102253,349.39,0.0704942,0.107325,355.594,0.0705258,0.123564
338.636,0.0709144,0.102912,349.422,0.0708983,0.107994,355.625,0.0709299,0.124323
338.67,0.0713208,0.103574,349.454,0.0713047,0.108665,355.657,0.0713363,0.125084
338.704,0.0717295,0.104237,349.486,0.0717134,0.109338,355.689,0.071745,0.125846
338.738,0.0721406,0.104903,349.518,0.0721245,0.110013,355.721,0.0721561,0.126611
338.772,0.072554,0.105571,349.55,0.072538,0.11069,355.753,0.0725695,0.127378
338.806,0.0729698,0.106242,349.582,0.0729537,0.111369,355.785,0.0729853,0.128147
338.84,0.073388,0.106914,349.614,0.0733719,0.11205,355.816,0.0734034,0.128919
338.874,0.0738085,0.107589,349.647,0.0737925,0.112733,355.848,0.0738239,0.129692
338.908,0.0742314,0.108266,349.679,0.0742154,0.113419,355.88,0.0742469,0.130467
338.942,0.0746568,0.108945,349.711,0.0746408,0.114106,355.912,0.0746722,0.131245
338.976,0.0750846,0.109626,349.743,0.0750686,0.114795,355.944,0.0751,0.132025
339.01,0.0755148,0.110309,349.775,0.0754988,0.115486,355.976,0.0755302,0.132807
339.044,0.0759475,0.110995,349.807,0.0759315,0.116179,356.008,0.0759629,0.133591
339.078,0.0763826,0.111683,349.839,0.0763666,0.116874,356.039,0.076398,0.134377
339.111,0.0768203,0.112373,349.871,0.0768043,0.117571,356.071,0.0768357,0.135165
339.145,0.0772604,0.113065,349.903,0.0772444,0.11827,356.103,0.0772758,0.135956
339.179,0.077703,0.11376,349.935,0.077687,0.118971,356.135,0.0777184,0.136748
339.213,0.0781482,0.114457,349.968,0.0781322,0.119674,356.167,0.0781635,0.137543
339.247,0.0785958,0.115156,350,0.0785799,0.120379,356.199,0.0786112,0.13834
339.281,0.0790461,0.115857,350.032,0.0790301,0.121087,356.23,0.0790614,0.139139
339.315,0.0794989,0.116561,350.064,0.0794829,0.121796,356.262,0.0795142,0.13994
339.349,0.0799542,0.117267,350.096,0.0799383,0.122507,356.294,0.0799696,0.140744
339.383,0.0804122,0.117975,350.128,0.0803963,0.12322,356.326,0.0804275,0.141549
339.417,0.0808728,0.118685,350.16,0.0808568,0.123936,356.358,0.0808881,0.142357
339.451,0.0813359,0.119398,350.192,0.08132,0.124653,356.39,0.0813513,0.143167
339.485,0.0818018,0.120113,350.224,0.0817859,0.125373,356.422,0.0818171,0.143979
339.519,0.0822702,0.12083,350.256,0.0822543,0.126095,356.453,0.0822855,0.144793
339.553,0.0827413,0.12155,350.288,0.0827255,0.126818,356.485,0.0827566,0.14561
339.587,0.0832151,0.122272,350.321,0.0831993,0.127544,356.517,0.0832304,0.146429
339.62,0.0836916,0.122996,350.353,0.0836758,0.128272,356.549,0.0837069,0.147249
339.654,0.0841708,0.123722,350.385,0.084155,0.129002,356.581,0.0841861,0.148073
339.688,0.0846527,0.124451,350.417,0.0846369,0.129734,356.613,0.084668,0.148898
339.722,0.0851374,0.125182,350.449,0.0851215,0.130468,356.644,0.0851526,0.149725
339.756,0.0856248,0.125916,350.481,0.0856089,0.131204,356.676,0.08564,0.150555
339.79,0.0861149,0.126652,350.513,0.0860991,0.131942,356.708,0.0861302,0.151387
339.824,0.0866079,0.12739,350.545,0.086592,0.132683,356.74,0.0866231,0.152221
