# Conversion and rate: T (C), alpha (-), dalpha/dt (1/s) for each beta.
T_C_1K,alpha_1K,rate_dadt_1/s_1K,T_C_3K,alpha_3K,rate_dadt_1/s_3K,T_C_5K,alpha_5K,rate_dadt_1/s_5K
285.404,1.95096e-05,2.95324e-06,282.596,1.00853e-07,0,286.501,0,0
285.405,1.97624e-05,2.98041e-06,282.598,1.00853e-07,0,286.503,0,0
285.407,2.00174e-05,3.00722e-06,282.6,1.00853e-07,0,286.505,0,0
285.408,2.02748e-05,3.0352e-06,282.602,1.00853e-07,0,286.506,0,0
285.41,2.05364e-05,3.06155e-06,282.604,1.00853e-07,0,286.508,0,0
285.411,2.07985e-05,3.0914e-06,282.606,1.00853e-07,0,286.51,0,0
285.413,2.10631e-05,3.12033e-06,282.609,1.00853e-07,0,286.512,0,0
285.414,2.13301e-05,3.14615e-06,282.611,1.00853e-07,0,286.513,0,0
285.415,2.15993e-05,3.17379e-06,282.613,1.00853e-07,0,286.515,0,0
285.417,2.18728e-05,3.20185e-06,282.615,1.00853e-07,0,286.517,0,0
285.418,2.21468e-05,3.23016e-06,282.617,1.00853e-07,0,286.519,0,0
285.42,2.24234e-05,3.26203e-06,282.619,1.00853e-07,0,286.52,0,0
285.421,2.27027e-05,3.29414e-06,282.621,1.00853e-07,0,286.522,0,0
285.422,2.29849e-05,3.33033e-06,282.623,1.00853e-07,0,286.524,0,0
285.424,2.32704e-05,3.371e-06,282.625,1.00853e-07,0,286.526,0,0
285.425,2.35614e-05,3.41317e-06,282.627,1.00853e-07,0,286.527,0,0
285.427,2.3854e-05,3.45512e-06,282.629,1.00853e-07,0,286.529,0,0
285.428,2.41502e-05,3.49734e-06,282.632,1.00853e-07,0,286.531,0,0
285.43,2.44499e-05,3.53975e-06,282.634,1.00853e-07,0,286.533,0,0
285.431,2.47533e-05,3.5807e-06,282.636,1.00853e-07,0,286.535,0,0
285.432,2.50601e-05,3.6213e-06,282.638,1.00853e-07,0,286.536,0,0
285.434,2.53703e-05,3.66159e-06,282.64,1.00853e-07,0,286.538,0,0
285.435,2.56841e-05,3.70281e-06,282.642,1.00853e-07,0,286.54,0,0
285.437,2.60014e-05,3.74678e-06,282.644,1.00853e-07,0,286.542,0,0
285.438,2.63225e-05,3.79125e-06,282.646,1.00853e-07,0,286.543,0,0
285.44,2.66498e-05,3.83785e-06,282.648,1.00853e-07,0,286.545,0,0
285.441,2.69789e-05,3.88787e-06,282.65,1.00853e-07,0,286.547,0,0
285.442,2.73124e-05,3.93912e-06,282.652,1.00853e-07,0,286.549,0,0
285.444,2.76502e-05,3.99102e-06,282.655,1.00853e-07,0,286.55,0,0
285.445,2.79924e-05,4.04296e-06,282.657,1.00853e-07,0,286.552,0,0
285.447,2.8339e-05,4.09333e-06,282.659,1.00853e-07,0,286.554,0,0
285.448,2.86899e-05,4.14225e-06,282.661,1.00853e-07,0,286.556,0,0
285.449,2.90448e-05,4.18862e-06,282.663,1.00853e-07,0,286.557,0,0
285.451,2.94034e-05,4.23069e-06,282.665,1.00853e-07,0,286.559,0,0
285.452,2.97656e-05,4.27121e-06,282.667,1.00853e-07,0,286.561,0,0
285.454,3.01339e-05,4.31369e-06,282.669,1.00853e-07,0,286.563,0,0
285.455,3.05033e-05,4.35676e-06,282.671,1.00853e-07,0,286.564,0,0
285.457,3.08763e-05,4.39891e-06,282.673,1.00853e-07,0,286.566,0,0
285.458,3.12528e-05,4.44077e-06,282.675,1.00853e-07,0,286.568,0,0
285.459,3.16355e-05,4.48008e-06,282.678,1.00853e-07,0,286.57,0,0
285.461,3.20187e-05,4.51455e-06,282.68,1.00853e-07,0,286.572,0,0
285.462,3.24047e-05,4.54664e-06,282.682,1.00853e-07,0,286.573,0,0
285.464,3.27934e-05,4.57666e-06,282.684,1.00853e-07,0,286.575,0,0
285.465,3.31844e-05,4.6028e-06,282.686,1.00853e-07,0,286.577,0,0
285.467,3.35777e-05,4.63015e-06,282.688,1.00853e-07,0,286.579,0,0
285.468,3.39733e-05,4.65607e-06,282.69,1.00853e-07,0,286.58,0,0
285.469,3.43712e-05,4.68391e-06,282.692,1.00853e-07,0,286.582,0,0
285.471,3.47745e-05,4.71651e-06,282.694,1.00853e-07,0,286.584,0,0
285.472,3.51779e-05,4.75355e-06,282.696,1.00853e-07,0,286.586,0,0
285.474,3.55846e-05,4.79402e-06,282.698,1.00853e-07,0,286.587,0,0
285.475,3.59949e-05,4.8374e-06,282.701,1.00853e-07,0,286.589,0,0
