# DSC deconvolution: T (C), smoothed signal, baseline, components (mW/mg).
T_C_1K,DSC_smoothed_1K,baseline_1K,peak_minus_baseline_1K,FS_fit_1K,T_C_3K,DSC_smoothed_3K,baseline_3K,peak_minus_baseline_3K,FS_fit_3K,T_C_5K,DSC_smoothed_5K,baseline_5K,peak_minus_baseline_5K,FS_fit_5K
504.219,-1.34068,-1.35537,0.0146868,-1.3468,512.872,-0.620662,-0.633214,0.0125516,-0.632496,516.61,-0.563693,-0.582592,0.0188984,-0.577629
504.258,-1.34081,-1.35564,0.0148227,-1.34698,512.917,-0.620642,-0.633365,0.0127231,-0.632635,516.653,-0.563614,-0.58269,0.0190763,-0.577669
504.297,-1.34097,-1.3559,0.0149282,-1.34716,512.962,-0.620631,-0.633516,0.0128849,-0.632774,516.695,-0.563536,-0.582789,0.019253,-0.577709
504.336,-1.34112,-1.35617,0.0150498,-1.34734,513.008,-0.620628,-0.633668,0.0130397,-0.632913,516.737,-0.563454,-0.582887,0.0194337,-0.577748
504.375,-1.34124,-1.35644,0.0151905,-1.34752,513.053,-0.62063,-0.633819,0.013189,-0.633051,516.78,-0.563377,-0.582986,0.0196085,-0.577787
504.414,-1.34136,-1.3567,0.0153423,-1.34769,513.098,-0.620646,-0.63397,0.0133241,-0.63319,516.822,-0.563313,-0.583084,0.0197709,-0.577825
504.453,-1.34152,-1.35697,0.0154536,-1.34787,513.143,-0.620659,-0.634122,0.0134623,-0.633328,516.865,-0.563262,-0.583183,0.019921,-0.577862
504.492,-1.34169,-1.35724,0.0155491,-1.34804,513.188,-0.620646,-0.634273,0.0136269,-0.633466,516.907,-0.563202,-0.583281,0.0200787,-0.577899
504.531,-1.34186,-1.3575,0.0156379,-1.34821,513.233,-0.620625,-0.634424,0.0137994,-0.633603,516.95,-0.56315,-0.58338,0.0202295,-0.577935
504.57,-1.34208,-1.35777,0.0156886,-1.34839,513.278,-0.620569,-0.634575,0.0140067,-0.633741,516.992,-0.563093,-0.583478,0.0203849,-0.577971
504.609,-1.34221,-1.35804,0.0158275,-1.34856,513.323,-0.620521,-0.634726,0.0142052,-0.633878,517.035,-0.563025,-0.583577,0.0205516,-0.578006
504.648,-1.34236,-1.3583,0.0159441,-1.34873,513.368,-0.620482,-0.634878,0.0143954,-0.634015,517.077,-0.562953,-0.583675,0.0207224,-0.57804
504.687,-1.34243,-1.35857,0.0161404,-1.3489,513.413,-0.62041,-0.635029,0.0146186,-0.634152,517.12,-0.562866,-0.583773,0.0209078,-0.578073
504.726,-1.34249,-1.35884,0.0163514,-1.34907,513.458,-0.62034,-0.63518,0.0148398,-0.634288,517.162,-0.562772,-0.583872,0.0211004,-0.578106
504.765,-1.34259,-1.3591,0.0165129,-1.34924,513.503,-0.620289,-0.635331,0.0150417,-0.634425,517.205,-0.562686,-0.58397,0.0212843,-0.578138
504.804,-1.34271,-1.35937,0.0166591,-1.34941,513.548,-0.620258,-0.635482,0.0152241,-0.634561,517.247,-0.562614,-0.584069,0.0214545,-0.57817
504.843,-1.34289,-1.35964,0.0167468,-1.34958,513.593,-0.620241,-0.635633,0.0153923,-0.634697,517.289,-0.562572,-0.584167,0.0215955,-0.5782
504.882,-1.34301,-1.35991,0.0169005,-1.34974,513.638,-0.62023,-0.635785,0.0155547,-0.634832,517.332,-0.562504,-0.584266,0.0217618,-0.57823
504.921,-1.34314,-1.36017,0.0170303,-1.34991,513.683,-0.620224,-0.635936,0.0157122,-0.634968,517.374,-0.562392,-0.584364,0.0219719,-0.57826
504.96,-1.34323,-1.36044,0.0172105,-1.35007,513.728,-0.620232,-0.636087,0.0158548,-0.635103,517.417,-0.562261,-0.584463,0.0222022,-0.578288
504.999,-1.34335,-1.36071,0.0173542,-1.35024,513.773,-0.620245,-0.636238,0.0159927,-0.635238,517.459,-0.562113,-0.584561,0.0224482,-0.578316
505.038,-1.34348,-1.36097,0.0174887,-1.3504,513.818,-0.620262,-0.636389,0.0161274,-0.635373,517.502,-0.561975,-0.58466,0.0226849,-0.578344
