# Forward reconstruction (consistency check), model R3: E=481 kJ/mol, lnA=94.7. T (C), alpha experimental and modelled for each beta.
T_C_1K,alpha_exp_1K,alpha_model_1K,T_C_3K,alpha_exp_3K,alpha_model_3K,T_C_5K,alpha_exp_5K,alpha_model_5K
290.636,0.0253614,0.0244307,298.828,0.0284555,0.0509857,298.025,0.0257376,0.0226286
290.637,0.0253838,0.0245252,298.83,0.0284926,0.0511845,298.027,0.0257616,0.0227166
290.638,0.0254064,0.0246205,298.832,0.0285298,0.0513833,298.028,0.0257858,0.022805
290.64,0.0254288,0.0247151,298.834,0.028567,0.0515822,298.03,0.02581,0.0228935
290.641,0.0254513,0.0248097,298.836,0.0286044,0.0517821,298.032,0.0258341,0.0229815
290.643,0.025474,0.024905,298.839,0.0286417,0.0519811,298.034,0.0258583,0.0230701
290.644,0.0254965,0.0249996,298.841,0.028679,0.0521802,298.035,0.0258826,0.0231586
290.646,0.025519,0.0250943,298.843,0.0287164,0.0523792,298.037,0.0259068,0.0232467
290.647,0.0255416,0.0251889,298.845,0.0287539,0.0525784,298.039,0.0259311,0.0233353
290.648,0.0255641,0.0252836,298.847,0.0287913,0.0527776,298.041,0.0259553,0.0234234
290.65,0.0255869,0.025379,298.849,0.0288288,0.0529768,298.042,0.0259796,0.023512
290.651,0.0256095,0.0254738,298.851,0.0288664,0.053176,298.044,0.0260038,0.0236002
290.653,0.0256321,0.0255685,298.853,0.0289042,0.0533763,298.046,0.0260282,0.0236889
290.654,0.0256547,0.0256633,298.855,0.0289418,0.0535757,298.048,0.0260525,0.0237771
290.656,0.0256775,0.0257587,298.857,0.0289795,0.0537751,298.049,0.0260769,0.0238658
