# DSC deconvolution: T (C), smoothed signal, baseline, components (mW/mg).
T_C_1K,DSC_smoothed_1K,baseline_1K,peak_minus_baseline_1K,FS_fit_1K,T_C_3K,DSC_smoothed_3K,baseline_3K,peak_minus_baseline_3K,FS_fit_3K,T_C_5K,DSC_smoothed_5K,baseline_5K,peak_minus_baseline_5K,FS_fit_5K
285.153,-0.279897,-0.279646,0,-0.279646,282.225,-0.209167,-0.208131,0,-0.208131,286.189,-0.191119,-0.190424,0,-0.190424
285.154,-0.279905,-0.279645,0,-0.279645,282.228,-0.209168,-0.208124,0,-0.208124,286.191,-0.191117,-0.190414,0,-0.190414
285.155,-0.279913,-0.279644,0,-0.279644,282.23,-0.20917,-0.208117,0,-0.208117,286.193,-0.191115,-0.190405,0,-0.190405
285.157,-0.279921,-0.279644,0,-0.279644,282.232,-0.209173,-0.208109,0,-0.208109,286.195,-0.191112,-0.190395,0,-0.190395
285.158,-0.27993,-0.279643,0,-0.279643,282.234,-0.209176,-0.208102,0,-0.208102,286.197,-0.191109,-0.190385,0,-0.190385
285.16,-0.279938,-0.279642,0,-0.279642,282.236,-0.209178,-0.208095,0,-0.208095,286.198,-0.191106,-0.190375,0,-0.190375
285.161,-0.279945,-0.279642,0,-0.279642,282.238,-0.209182,-0.208088,0,-0.208088,286.2,-0.191103,-0.190365,0,-0.190365
285.162,-0.279952,-0.279641,0,-0.279641,282.24,-0.209186,-0.20808,0,-0.20808,286.202,-0.191099,-0.190355,0,-0.190355
285.164,-0.279957,-0.27964,0,-0.27964,282.242,-0.20919,-0.208073,0,-0.208073,286.204,-0.191095,-0.190346,0,-0.190346
285.165,-0.279962,-0.279639,0,-0.279639,282.244,-0.209195,-0.208066,0,-0.208066,286.205,-0.191091,-0.190336,0,-0.190336
285.167,-0.279966,-0.279639,0,-0.279639,282.246,-0.2092,-0.208058,0,-0.208058,286.207,-0.191086,-0.190326,0,-0.190326
285.168,-0.279969,-0.279638,0,-0.279638,282.248,-0.209205,-0.208051,0,-0.208051,286.209,-0.191081,-0.190316,0,-0.190316
285.17,-0.279972,-0.279637,0,-0.279637,282.251,-0.20921,-0.208044,0,-0.208044,286.211,-0.191074,-0.190306,0,-0.190306
285.171,-0.279974,-0.279637,0,-0.279637,282.253,-0.209216,-0.208036,0,-0.208036,286.212,-0.191067,-0.190296,0,-0.190296
285.172,-0.279975,-0.279636,0,-0.279636,282.255,-0.209223,-0.208029,0,-0.208029,286.214,-0.191059,-0.190286,0,-0.190286
285.174,-0.279975,-0.279635,0,-0.279635,282.257,-0.209229,-0.208022,0,-0.208022,286.216,-0.19105,-0.190277,0,-0.190277
285.175,-0.279976,-0.279635,0,-0.279635,282.259,-0.209236,-0.208014,0,-0.208014,286.218,-0.19104,-0.190267,0,-0.190267
285.177,-0.279976,-0.279634,0,-0.279634,282.261,-0.209243,-0.208007,0,-0.208007,286.219,-0.191031,-0.190257,0,-0.190257
285.178,-0.279975,-0.279633,0,-0.279633,282.263,-0.20925,-0.208,0,-0.208,286.221,-0.191022,-0.190247,0,-0.190247
285.18,-0.279975,-0.279632,0,-0.279632,282.265,-0.209258,-0.207993,0,-0.207993,286.223,-0.191013,-0.190237,0,-0.190237
285.181,-0.279975,-0.279632,0,-0.279632,282.267,-0.209266,-0.207985,0,-0.207985,286.225,-0.191005,-0.190227,0,-0.190227
285.182,-0.279974,-0.279631,0,-0.279631,282.269,-0.209273,-0.207978,0,-0.207978,286.226,-0.190997,-0.190218,0,-0.190218
285.184,-0.279972,-0.27963,0,-0.27963,282.271,-0.209281,-0.207971,0,-0.207971,286.228,-0.190991,-0.190208,0,-0.190208
285.185,-0.27997,-0.27963,0,-0.27963,282.274,-0.209289,-0.207963,0,-0.207963,286.23,-0.190985,-0.190198,0,-0.190198
285.187,-0.279965,-0.279629,0,-0.279629,282.276,-0.209296,-0.207956,0,-0.207956,286.232,-0.19098,-0.190188,0,-0.190188
