#EXPORTTYPE:DATA SINGLE
#FILE:M-TBA_m=6.03Ï„_30-590-20 C_3Kmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:02
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:23.04.2025 15:30
#CORR. FILE:
#TEMPCAL:13.02.2020_concavus.ngb-td7
#SENSITIVITY:24.09.2020_sensitivity.ngb-ed7
#LABORATORY:
#OPERATOR:
#REMARK:ÚË„ÂÎ¸:  m=23.78 Ï„  Á‡ÔÂÒÒÓ‚‡Ì
#SAMPLE:M-TBA
#SAMPLE MASS /mg:6.03
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, open
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:30∞C/3,0(K/min)/590∞C/30,0(K/min)/20∞C/
#SEGMENT:S1/2
#SEG. 1:30∞C/3,0(K/min)/590∞C
#SEG. 2:590∞C/30,0(K/min)/20∞C

##Temp./∞C;Time/min;DSC/(mW/mg);Sensit./(uV/mW);Segment
293.07795;87.68263;    -0.17635;2.71835;1
293.08005;87.68333;    -0.17631;2.71835;1
293.08214;87.68403;    -0.17627;2.71834;1
293.08424;87.68472;    -0.17623;2.71834;1
293.08634;87.68542;    -0.17619;2.71833;1
293.08844;87.68612;    -0.17615;2.71832;1
293.09054;87.68682;    -0.17611;2.71832;1
293.09264;87.68752;    -0.17607;2.71831;1
293.09474;87.68822;    -0.17604;2.71830;1
293.09684;87.68892;    -0.17600;2.71830;1
293.09894;87.68962;    -0.17596;2.71829;1
293.10104;87.69031;    -0.17591;2.71829;1
293.10314;87.69101;    -0.17585;2.71828;1
293.10524;87.69171;    -0.17579;2.71827;1
293.10733;87.69241;    -0.17575;2.71827;1
293.10943;87.69311;    -0.17572;2.71826;1
293.11153;87.69381;    -0.17568;2.71825;1
293.11364;87.69451;    -0.17563;2.71825;1
293.11574;87.69521;    -0.17560;2.71824;1
293.11784;87.69590;    -0.17559;2.71824;1
293.11994;87.69660;    -0.17557;2.71823;1
293.12204;87.69730;    -0.17553;2.71822;1
293.12414;87.69800;    -0.17549;2.71822;1
293.12624;87.69870;    -0.17546;2.71821;1
293.12834;87.69940;    -0.17544;2.71820;1
293.13044;87.70010;    -0.17542;2.71820;1
293.13254;87.70080;    -0.17538;2.71819;1
