#EXPORTTYPE:DATA ALL
#FILE:Mel_m=3.89ìã_30-600-20 C_5Kmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:01
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:17.06.2026 18:01
#CORR. FILE:
#TEMPCAL:13.02.2020_concavus.ngb-td7
#SENSITIVITY:24.09.2020_sensitivity.ngb-ed7
#LABORATORY:
#OPERATOR:
#REMARK:òèãåëü:  m=23,55 ìã  çàïðåññîâàí  äî ýêñïåð. m=46,05 ìã
#SAMPLE:Mel
#SAMPLE MASS /mg:3.89
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, open
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:30°C/5,0(K/min)/600°C/30,0(K/min)/20°C/
#SEGMENT:S1-2/2
#SEG. 1:30°C/5,0(K/min)/600°C
#SEG. 2:600°C/30,0(K/min)/20°C

##Temp./°C;Time/min;DSC/(mW/mg);Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
187.68541; 31.52650;    -0.35146;100.00000;150.00000;2.91831;1
187.72790; 31.53500;    -0.35132;100.00000;150.00000;2.91828;1
187.77039; 31.54350;    -0.35152;100.00000;150.00000;2.91825;1
187.81292; 31.55200;    -0.35179;100.00000;150.00000;2.91822;1
187.85541; 31.56050;    -0.35190;100.00000;150.00000;2.91819;1
187.89792; 31.56900;    -0.35198;100.00000;150.00000;2.91816;1
187.94040; 31.57750;    -0.35185;100.00000;150.00000;2.91813;1
187.98289; 31.58600;    -0.35181;100.00000;150.00000;2.91810;1
188.02539; 31.59450;    -0.35201;100.00000;150.00000;2.91806;1
188.06789; 31.60300;    -0.35200;100.00000;150.00000;2.91803;1
188.11038; 31.61150;    -0.35200;100.00000;150.00000;2.91800;1
188.15289; 31.62000;    -0.35199;100.00000;150.00000;2.91797;1
188.19538; 31.62850;    -0.35211;100.00000;150.00000;2.91794;1
188.23791; 31.63700;    -0.35199;100.00000;150.00000;2.91791;1
188.28042; 31.64550;    -0.35205;100.00000;150.00000;2.91788;1
188.32292; 31.65400;    -0.35232;100.00000;150.00000;2.91785;1
188.36540; 31.66250;    -0.35222;100.00000;150.00000;2.91782;1
188.40788; 31.67100;    -0.35215;100.00000;150.00000;2.91778;1
188.45036; 31.67950;    -0.35214;100.00000;150.00000;2.91775;1
188.49284; 31.68800;    -0.35206;100.00000;150.00000;2.91772;1
188.53532; 31.69650;    -0.35233;100.00000;150.00000;2.91769;1
188.57780; 31.70500;    -0.35245;100.00000;150.00000;2.91766;1
188.62030; 31.71350;    -0.35259;100.00000;150.00000;2.91763;1
188.66280; 31.72200;    -0.35271;100.00000;150.00000;2.91760;1
188.70531; 31.73050;    -0.35284;100.00000;150.00000;2.91756;1
188.74783; 31.73900;    -0.35303;100.00000;150.00000;2.91753;1
188.79033; 31.74750;    -0.35332;100.00000;150.00000;2.91750;1
188.83286; 31.75600;    -0.35350;100.00000;150.00000;2.91747;1
188.87537; 31.76450;    -0.35342;100.00000;150.00000;2.91744;1
188.91787; 31.77300;    -0.35367;100.00000;150.00000;2.91741;1
188.96037; 31.78150;    -0.35354;100.00000;150.00000;2.91737;1
189.00288; 31.79000;    -0.35346;100.00000;150.00000;2.91734;1
189.04537; 31.79850;    -0.35372;100.00000;150.00000;2.91731;1
189.08785; 31.80700;    -0.35378;100.00000;150.00000;2.91728;1
189.13034; 31.81550;    -0.35393;100.00000;150.00000;2.91725;1
189.17284; 31.82400;    -0.35410;100.00000;150.00000;2.91721;1
189.21536; 31.83250;    -0.35413;100.00000;150.00000;2.91718;1
189.25789; 31.84100;    -0.35402;100.00000;150.00000;2.91715;1
189.30041; 31.84950;    -0.35383;100.00000;150.00000;2.91712;1
189.34291; 31.85800;    -0.35360;100.00000;150.00000;2.91709;1
189.38544; 31.86650;    -0.35373;100.00000;150.00000;2.91705;1
189.42797; 31.87500;    -0.35426;100.00000;150.00000;2.91702;1
189.47049; 31.88350;    -0.35405;100.00000;150.00000;2.91699;1
189.51304; 31.89200;    -0.35411;100.00000;150.00000;2.91696;1
189.55558; 31.90050;    -0.35415;100.00000;150.00000;2.91692;1
189.59812; 31.90900;    -0.35432;100.00000;150.00000;2.91689;1
189.64066; 31.91750;    -0.35450;100.00000;150.00000;2.91686;1
189.68320; 31.92600;    -0.35436;100.00000;150.00000;2.91683;1
189.72577; 31.93450;    -0.35409;100.00000;150.00000;2.91679;1
189.76833; 31.94300;    -0.35400;100.00000;150.00000;2.91676;1
189.81088; 31.95150;    -0.35446;100.00000;150.00000;2.91673;1
189.85342; 31.96000;    -0.35453;100.00000;150.00000;2.91670;1
189.89597; 31.96850;    -0.35473;100.00000;150.00000;2.91666;1
189.93852; 31.97700;    -0.35464;100.00000;150.00000;2.91663;1
189.98107; 31.98550;    -0.35437;100.00000;150.00000;2.91660;1
190.02363; 31.99400;    -0.35437;100.00000;150.00000;2.91656;1
190.06620; 32.00250;    -0.35443;100.00000;150.00000;2.91653;1
190.10877; 32.01100;    -0.35463;100.00000;150.00000;2.91650;1
190.15134; 32.01950;    -0.35455;100.00000;150.00000;2.91647;1
190.19389; 32.02800;    -0.35459;100.00000;150.00000;2.91643;1
190.23646; 32.03650;    -0.35473;100.00000;150.00000;2.91640;1
190.27902; 32.04500;    -0.35480;100.00000;150.00000;2.91637;1
190.32157; 32.05350;    -0.35487;100.00000;150.00000;2.91633;1
190.36411; 32.06200;    -0.35491;100.00000;150.00000;2.91630;1
190.40668; 32.07050;    -0.35469;100.00000;150.00000;2.91627;1
190.44924; 32.07900;    -0.35484;100.00000;150.00000;2.91623;1
190.49178; 32.08750;    -0.35510;100.00000;150.00000;2.91620;1
190.53432; 32.09600;    -0.35498;100.00000;150.00000;2.91617;1
190.57685; 32.10450;    -0.35481;100.00000;150.00000;2.91613;1
190.61936; 32.11300;    -0.35488;100.00000;150.00000;2.91610;1
190.66189; 32.12150;    -0.35480;100.00000;150.00000;2.91607;1
190.70440; 32.13000;    -0.35480;100.00000;150.00000;2.91603;1
190.74692; 32.13850;    -0.35500;100.00000;150.00000;2.91600;1
190.78943; 32.14700;    -0.35519;100.00000;150.00000;2.91597;1
190.83192; 32.15550;    -0.35525;100.00000;150.00000;2.91593;1
190.87444; 32.16400;    -0.35530;100.00000;150.00000;2.91590;1
190.91696; 32.17250;    -0.35513;100.00000;150.00000;2.91586;1
190.95951; 32.18100;    -0.35516;100.00000;150.00000;2.91583;1
191.00202; 32.18950;    -0.35527;100.00000;150.00000;2.91580;1
191.04454; 32.19800;    -0.35535;100.00000;150.00000;2.91576;1
191.08707; 32.20650;    -0.35521;100.00000;150.00000;2.91573;1
191.12960; 32.21500;    -0.35520;100.00000;150.00000;2.91569;1
191.17212; 32.22350;    -0.35526;100.00000;150.00000;2.91566;1
